notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
8/14/2015,Temporary Plant Closing,One UN New York Hotel (East  Tower),"1 United Nations Plaza New York, NY 10017",New York County,(212) 758-1234,Hotel,111,275,11/15/2015,"Renovations to the East Tower.The Hotel anticipates that it will re-open on or about May 10, 2016.","New York Hotel & Motel Trades Council, AFL-CIO; UNITE HERE",Temporary Plant Closing
8/11/2015,Plant Closing,One UN New York Hotel (East  Tower),"1 United Nations Plaza New York, NY 10017",Westchester County,(847) 646-4747,Food Manufacturer and Distributor,129,129,Expected,"Merger between Kraft Foods Group, Inc. and the H. J. Heinz Holding Corporation",There are no bumping rights.,Plant Closing
8/10/2015,Plant Layoff,"Ideel, Inc.","620 8th Avenue, 45th Floor New York, NY 10018",New York County,(646) 793-2449,Members only online shopping site,39,,To,Economic,The affected employees are not represented by a union.Bumping rights do not exist.,Plant Layoff
4/29/2015,Plant Closing,"Krinos Foods, LLC","47-00 Northern Blvd Long Island City, NY 11101",Queens County,(718) 729-9000,Importers & Manufacturers of Specialty Foods,No,70,-----,"Relocation of operations to 1734 Bathgate Avenue, Bronx NY 10457",Employees will not bump or displace other employees in order to remain employed with the  company.,Plant Closing
6/25/2015,Plant Closing,Ramada Syracuse,"1305 Buckley Road N. Syracuse, NY 13212",Onondaga County,(315) 671-5960,Hotel,81,81,9/25/2015,Economic,Bumping rights do not exist.,Plant Closing
4/30/2015,Plant Closing,Niagara LaSalle Corporation,"110 Hopkins Street Buffalo, NY 14220",Erie County,(219) 853-6108,Steel Bar Manufacturer,49,49,To,Economic,None of the company's affected employees are unionized.,Plant Closing
7/31/2015,Plant Layoff,Menorah Licensed Homecare,"2700 North Forest Road Getzville, NY14068",Erie County,(716) 639-3311 Ext.2437,Home Care Services,63,,on,Economic,1199SEIU United Healthcare Workers East,Plant Layoff
7/31/2015,Plant  Closing,Pfizer Inc.,"64 Maple Street Rouses Point, NY 12979",Clinton County,(845) 602-3611,Pharmaceuticals,13,,To,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
7/30/2015,Plant Layoff,Eastman Kodak Company,"(Eastman Business Park) 1669 Lake Avenue Rochester, NY 14650",Monroe County,(585) 781-1758,Photographic equipment and Supplies,1,,10/27/2015,Economic,Bumping rights  do exist.,Plant Layoff
7/31/2015,Plant  Closing,Battery Park City Parks  Conservancy,"75 Battery Place New York, NY 10280",New York County,(212) 417-3196,"Manage, maintain, operate and program the parks and  open spaces of Battery Park City",125,125,10/31/2015,Economic,None of the affected employees are represented by a union or will have “bumping” rights to  other positions.,Plant Closing
3/31/2015,Plant Closing,Michael Malotz Skilled  Nursing Facility (Michael Malotz),"120 Odell Avenue Yonkers, NY 10701",Westchester County,(914) 964-4722,Skilled Nursing Facility,226,226,8/19/2015,Sale of Business,"1199 SEIU, Local 30",Plant Closing
7/27/2015,Plant  Closing,Menorah Home & Hospital  for the Aged,"Adult Day Health Center 6202 16th Avenue Brooklyn, NY 11204",Kings County,(718) 630-2555,Adult Day Center,47,47,10/25/2015,Economic,1199 SEIU,Plant Closing
7/22/2015,Plant  Closing,Restaurant Associates (The  Brooklyn Museum),"200 Eastern Parkway Brooklyn, NY 11238",Kings County,(212) 874-5530,Food Services,32,32,9/30/2015,Loss of Contract,"Unite Here, Local 100",Plant Closing
7/24/2015,Plant Layoff,Quirky Inc.,"Headquarters 606 West 28th Street New York, NY",New York County,(518) 332-5950,Invention Company,109,,to,Economic,No bumping rights exist and there are no bargaining unit employees.,Plant Layoff
7/23/2015,Plant  Layoff,"Samsung Electronics America,  Inc.","123 West 18th Street, 7th  Floor New York, NY",New York County,(972) 761-7756,Electronics Company,42,,10/21/2015,Terminate PX Project Research and Development Team,Employees are  not unionized or otherwise organized.,Plant Layoff
7/22/2015,Plant Layoff,"Advance Publications, Inc.","Staten Island Advance 950 Fingerboard Road Staten Island, NY 10305",Richmond County,(718) 816-2852,Newspaper Publication,45,,10/23/2015,Company Restructuring - Outsourcing certain business operations,Employees are  not represented by unions nor do they have bumping rights.,Plant Layoff
7/27/2015,Plant Closing,Depalino Restaurant Corp.,"DBA City Crab and Seafood  Company 235 Park Ave S New York, NY 10003",New York County,(212) 253-6404,Restaurant,73,73,8/30/2015,Economic,Employees have  no bumping rights.,Plant Closing
7/23/2015,Plant  Layoff,Sterling National Bank,"1412 Broadway New York, NY 10018",New York/Bronx County,(845) 369-8086,Financial Institution,6,,to,Economic,There are no bumping rights.,Plant Layoff
7/21/2015,Plant  Layoff,Gold Pure Food Products Co.  Inc.,"1 Brooklyn Road Hempstead Village, NY 11550-6619",Nassau County,(516) 483-5600,Food Products,56,,7/31/2015,"Asset Purchase Agreement with Gold's Pure Foods, LLC",Teamsters Local 802 Bakery & Warehouse Division,Plant Layoff
7/21/2015,Plant  Closing,"United Airlines, Inc.","John F. Kennedy International  Airport, Terminal 7 Jamaica, NY 11430",Queens County,(973) 681-2040/(973) 681-0182,Transcontinenal Flights/p.s. service,271,271,to,Transfer operation to Newark Liberty International  Airport (EWR),International Association of Machinists and Aerospace  Workers,Plant Closing
7/24/2015,Plant  Closing,Restaurant Associates (Credit  Suisse),"11 Madison Avenue New York, NY 10010",New York/Kings County,(212) 325-5244,Food Services,42,42,9/18/2015,Building Renovations,"Unite Here, Local 100",Plant Closing
7/7/2015,Plant  Layoff,Sterling National Bank,"500 7th Avenue New York, NY 10018",New York County,(845) 369-8086,Financial Institution,5,,to,Economic,There are no  bumping rights.,Plant Layoff
7/18/2015,Plant  Closing,The Great Atlantic Pacific  Tea Company,"Pathmark Store #6623 1764 Grand Avenue Baldwin, NY 11510",Nassau County,(201) 571-4018,Supermarket,128,128,Separations,Economic,UFCW Locals,Plant Closing
7/16/2015,Plant  Closing,Durham School Services,"10-14 Tucker Drive Poughkeepsie, NY 12603",Dutchess County,(630) 210-2724,Transportation Services,76,76,10/15/2015,"Loss of Contract with Spackenkill United Free School  District, Dutchess County BOCES and Rhinebeck School District",Bumping rights  do exist.,Plant Closing
7/9/2015,Plant Closing,Durham School Services,"10-14 Tucker Drive Poughkeepsie, NY 12603",Westchester County,(914) 220-4344,Transportation Department,10,10,10/8/2015,Economic,"Local 1181-1061 Amalgamated Transit Union AFL-CIO, Local 338 Retail, Wholesale, Department Store Union (TWDSU), United Food and Commercial Workers (UFCS) (Local338)",Plant Closing
6/18/2015,Plant  Closing,"Spanier Building Maintenance  Co., Inc.","One Wall Street New York, NY",New York County,(212) 868-3441,Building Service & Maintenance,40,40,to,Economic,"Local 32BJ, SEIU",Plant Closing
7/10/2015,Plant Closing,Daikin Applied,"4900 Technology Park  Boulevard Auburn, NY 13021",Cayuga County,(315) 282-6296,Air conditioning manufacturing,179,310,(8th,Economic,"United Steelworkers, Local 32",Plant Closing
4/27/2015,Plant Unit Closing,Ortho Clinical Diagnostics,"100 Indigo Creek Drive Rochester, NY 14626",Monroe County,(585) 453-4642,Instrument Manufacturing Operations,105,1000,undetermined,Transitioning operations to Nypro Inc.,Bumping  rights are not available.,Plant Unit Closing
7/8/2015,Plant  Closing,Research Foundation  CUNY/Bronx Community College,"Poised for Success Program 2205 Sedgwick Avenue,  Altschul Hall, 1st Floor Bronx, NY 10453",KING/Bronx County,(212) 417-8601,Community Service Program,11,11,10/9/2015,Funding Cuts,None of the  affected employees will have “bumping” rights to other positions.,Plant Closing
7/7/2015,Plant  Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,10/6/2015,Economic,Bumping rights  do not exist.,Plant Layoff
7/2/2015,Plant Closing,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",New York County,(212) 768-5971,Corporate Offices,70,70,Layoffs,Reorganization,"Workers United; New York Coat, Suit, Dress, Rainwear & Allied Worker Local 89-22-1, Workers United; Amalgamated Ladies’Garment Cutters Union Local 10, Workers United",Plant Closing
7/1/2015,Plant  Closing,Bosch Healthcare Systems Inc.,"2118 Beech Grove Utica, NY 13501",Oneida County,(734) 709-8196,Healthcare Services,19,19,Late,Economic,There is no union.,Plant Closing
7/7/2015,Plant  Closing,Pfizer Inc.,"64 Maple Street Rouses Point, NY 12979",Clinton County,(845) 602-3611,Pharmaceuticals,27,,To,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
7/7/2015,Plant Layoff,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",Rockland County,"Mariana Arteaga, Human Resources Director,
 Phone",Pharmaceutical Products,23,----,To,Company Restructuring,Local 95c ICWU/UFCW,Plant Layoff
6/9/2015,Plant Closing,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",Kings County,(516) 741-2860,Dialysis Services,65,65,To,Sale of facility,1199 SEIU United Healthcare Workers East; New York State Nurses Association,Plant Closing
6/30/2015,Plant Closing,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",Kings County,(718) 802-1085,Medical Supplies and Services,52,52,9/30/2015,"Relocation to South Plainfield, NJ",Affected employees are not represented by a union.,Plant Closing
2/27/2015,Plant Closing,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",New York County,(412) 234-8952,Financial,50,50,layoffs,Economic,The affected employees are not represented by a union or any other collective bargaining representative.,Plant Closing
6/25/2015,Plant Layoff,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,9/22/2015,Economic,Bumping rights do not exist.,Plant Layoff
6/19/2015,Plant Closing,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",Queens County,(973) 699-3874,Grocery Store,83,83,9/17/2015,Economic,Local 338 RWDSU/UFCW and Local 342 UFCW,Plant Closing
6/23/2015,Plant Closing,Pfizer Inc.,"401 North Middletown Road Pearl River, NY 10965",Monroe County,(585) 402-7214,Distribution Facility & Resale Stores,28,28,10/31/2015,Economic,No Union affiliation,Plant Closing
6/16/2015,Plant  Closing,"Johnson Controls, Inc. @ Eastman Kodak","Kodak Research Labs 1999 Lake Avenue Rochester, NY",Monroe County,(908) 835-0420,Equipment and Building Maintenance,32,32,9/15/2015,Contract Expiration,UA Local 13,Plant Closing
6/17/2015,Plant  Closing,"Sodexo, Inc. @ Colgate University","Frank Dining Hall 13 Oak Drive Hamilton, NY 13346",Madison County,(315) 228-7669,Food Services,99,99,7/11/2015,Expiration of Contract,SEIU Local 200,Plant Closing
6/23/2015,Plant  Closing,Novartis Pharmaceuticals  Corporation,"25 Old Mill Road Suffern, NY 10901",Rockland County,(845) 368-6086,Pharmaceutical Manufacturing,21,----,5th,Economic,No union  representation; bumping arrangements are not available for affected  employees.,Plant Closing
6/23/2015,Plant Layoff,Eastman Kodak,"Kodak Research Labs 1999 Lake Avenue Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,9/14/2015,Economic,Bumping rights  do not exist.,Plant Layoff
6/18/2015,Plant Layoff,New York Life Insurance  Company,"51 Madison Avenue New York, NY 10010",New York County,(212) 576-6598,Life Insurance,17,,To,Relocation of finance operations,There is no  union representation at this location. Bumping arrangements are not available for affected employees.,Plant Layoff
5/4/2015,Plant Closing,Raytheon Company,"1515 Stewart Avenue Westbury, NY",Nassau County,(847) 946-7170,Air Traffic Control Optimum Training Solution,33,33,9/8/2015,ATCOTS contract awarded to SAIC,Employees do  not have bumping rights.,Plant Closing
6/19/2015,Plant  Layoff,Father Flanagan's Boys' Home,"d/b/a Boys Town New York,  Incl (Boys Town) 451 Park Avenue South, 2nd  Floor New York, NY 10016",New York County,(212) 725-4260,Children and family services,83,,9/19/2015,Economic,There are no  applicable bumping rights. There are no  unions representing affected employees.,Plant Layoff
3/5/2015,Plant Layoff,Father Flanagan's Boys' Home,"d/b/a Boys Town New York,  Incl (Boys Town) 451 Park Avenue South, 2nd  Floor New York, NY 10016",Livingston/Monroe County,(585) 991-5287,Private Collection Agency,60,,To,Termination of Contract with Department of Education,There are no bumping rights and the affected employees are not represented by a union.,Plant Layoff
6/12/2015,Plant Closing,Earthlink,"275 Northpointe Parkway Amherst, NY 14228",Erie County,(585) 530-2797,Outsourced call center-desktop support,65,65,To,Economic,None of the affected employees are represented by a labor organization.,Plant Closing
5/1/2015,Plant  Closing,Visiting Nurse Service of New  York Home Care (VNSNY Home Care),"Headstart Program 216-20 Beach 87th Street Rockaway Beach, NY 11693",Queens County,(212) 609-7880,Headstart Program,48,48,8/31/2015,Transfer of program to Child Development Institute,1199 SEIU United Healthcare Workers East,Plant Closing
3/20/2014,Plant  Closing,ConAgra Foods Inc.,"aka The Carriage House Companies, Inc. 196 Newton Street Fredonia, NY",Chautauqua County,(716) 673-8265,Manufacturing plant,395,395,To,Economic,National  Conference Firemen & Oilers District of Local  32 BJ/S.E.I.U.,Plant Closing
6/3/2015,Plant Unit Closing,Bank of America,"Consumer & LAS Operations 300 Broadhollow Road Melville, NY 11747",Suffolk County,(202) 661-7130,Bank,29,29,9/1/2015,Economic,No bumping  rights exist and associates are not represented by a Union.,Plant Unit Closing
6/4/2015,Plant  Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,9/1/2015,Economic,Bumping rights  do not exist.,Plant Layoff
6/7/2015,Plant  Closing,"Euromarket Designs, Inc.","d/b/a Crate & Barrel 650 Madison Avenue New York, NY 10022",New York County,(212) 519-5663,Retail Store,137,137,to,Economic,"None of the  individuals are represented by a union or other third party representative, and  no bumping rights exist.",Plant Closing
2/2/2015,Plant Layoff,"Euromarket Designs, Inc.","d/b/a Crate & Barrel 650 Madison Avenue New York, NY 10022",New York County,(212) 235-5888,Transportation,121,,To,Economic,"Transport Workers Union of America, Local 225",Plant Layoff
6/2/2015,Plant Closing,"Euromarket Designs, Inc.","d/b/a Crate & Barrel 650 Madison Avenue New York, NY 10022",Cayuga County,(315) 282-6296,Air conditioning manufacturing,45,310,(7th,Economic,"United Steelworkers, Local 32",Plant Closing
6/1/2015,Plant Closing,"Euromarket Designs, Inc.","d/b/a Crate & Barrel 650 Madison Avenue New York, NY 10022",Onondaga County,(617) 464-8981,Designs and manufactures electronic controls,47,47,Will,Economic,No union,Plant Closing
6/2/2015,Plant  Closing,"Mel S. Harris and Associates,  LLC","5 Hanover Square, 8th Floor New York, NY 10004",New York County,(212) 571-4900,Law Firm,53,53,9/4/2015,Economic,"The Company is not part of a union; therefore, no  bumping rights are either applicable or exist.",Plant Closing
6/1/2015,Plant  Layoff,Mount Kisco Medical Group PC  (MKMG),"6734 Route 9 Rhinebeck, NY 12572",Dutchess/Westchester County,(914) 302-8474,Medical Group,6,,8/30/2015,Economic,The affected  employees are not represented by any union and there are no bumping rights at  these facilities.,Plant Layoff
5/14/2015,Plant Layoff,The Children's Aid  Society,"(Central Office) 105 E 22nd Street New York, NY 10010",New York County,(212) 949-4952,Family Services,45,,Layoffs,Economic,"AFSCME DC 1707, Local 205",Plant Layoff
5/28/2015,Plant  Closing,Commission on Economic Opportunity,"Stepping Stones II 300 Valley View Boulevard Rensselaer, NY 12144",Rensselaer County,(518) 272-6012 Ext 281,Childcare center,34,34,8/28/2015,Economic,Bumping  rights for affected employees do not exist.,Plant Closing
5/28/2015,Plant Layoff,Honeywell Scanning and  Mobility,"700 Visions Drive POB 208 Skaneateles Falls, NY 13153",Onondaga County,(319) 369-3552,Developing and Manufacturing - Clean Energy Systems,1,,9/30/2015,Economic,Employees are  not represented by a union and do not have bumping rights.,Plant Layoff
5/26/2015,Plant Closing,PricewaterhouseCoopers LLP,"80 State Street Albany, NY 12202",Albany County,(727) 729-2602,Financial investment advice services,38,38,8/31/2015,Economic,No applicable  bumping rights and no individuals are represented by a union or labor  organization.,Plant Closing
5/26/2015,Plant Closing,"Derle Farms, Inc.","156-02 Liberty Avenue Jamaica, NY 11433",Queens County,(718) 257-2040Ext 122,Milk and milk byproducts sales and distribution,72,72,to,Relocation of operations to new location,Teamsters Local 553,Plant Closing
5/20/2015,Plant  Layoff,Eastman Kodak,"Kodak Research Labs 1999 Lake Avenue Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,8/17/2015,Economic,Bumping rights  do not exist.,Plant Layoff
5/20/2015,Plant Closing,Eastman Kodak,"Kodak Research Labs 1999 Lake Avenue Rochester, NY",Clinton County,(845) 602-3611,Pharmaceuticals,12,,To,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
1/27/2015,Plant Layoff,Eastman Kodak,"Kodak Research Labs 1999 Lake Avenue Rochester, NY",Steuben County,(607) 324-8745,Hospital,55,,to,Economic,Bumping rights do not exist because none of the affected employees are members of a labor organization.,Plant Layoff
5/7/2015,Plant  Unit Closing,"DAL Global Services, LLC","John F. Kennedy International  Airport Jamaica, NY",Queens County,(718) 751-4462,Baggage Handling,46,46,6/1/2015,Loss of contract with International Air Terminal LLC  to Air Serv Corporation,No bumping rights exist.,Plant Unit Closing
5/12/2015,Plant  Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,8/9/2015,Economic,Bumping rights  do not exist.,Plant Layoff
3/31/2015,Plant Closing,American Bible Society,"1865 Broadway New York, NY 10023",New York County,(212) 408-1566,Bible society,30-35,30-35,6/30/2015,"Relocation to Philadelphia, PA",The affected workers are not represented by a union.,Plant Closing
5/7/2015,Plant  Closing,"Delaware and Hudson Railway  Company, Inc.","200 Clifton Corporate Parkway Clifton Park, NY 12065",Saratoga/Albany/Washington County,(612) 904-6191,Railroad,165,165,8/15/2015,Sale of Business,"International  Brotherhood of Electrical Workers, National Conference of Fireman & Oilers,  Allied Services Division - Police, Brotherhood of Railway Carmen, BMWED-IBT,  ARASA/TCU/IAM Mechanical, United Transportation Union, Yardmaster Department,  IAMAW, UTU-SMART, American Railway & Airway Supervisors Association –  Engineering Division, Brotherhood of Locomotive Engineers & Trainmen,  Brotherhood of Railroad Signalmen",Plant Closing
5/8/2015,Plant  Closing,"Uni-Select USA, Inc.","601 Vickers Street Tonawanda, NY 14150",Erie County,(716) 531-9247,Wholesale  Automobile Parts and Supplies Warehouse,33,33,First,Economic,"International Brotherhood of Teamsters, Teamsters Local 449",Plant Closing
4/30/2015,Plant Layoff,"Arrow Electronics, Inc.","70 Maxess Road Melville, NY 11747",Suffolk County,(303) 824-4181,Electronic Contractors,93,,to,Relocation of some of the facility’s operations to  Colorado,There are no  bumping rights and the affected employees are not represented by a union.,Plant Layoff
12/9/2014,Plant  Unit Closing,"Seneca Data Distributors -  wholly-owned subsidiary of Arrow Electronics, Inc.","7401 Round Pond Road N. Syracuse, NY 13212",Onondaga County,(303) 824-4186,Electronics warehouse,45,45,To,"Warehouse operations will be relocated to  a sight in Phoenix, Arizona","No union  represents the affected employees, nor do they have bumping rights.",Plant Unit Closing
5/8/2015,Plant  Layoff,"Amertex Textile Services,  Inc.","231 Rider Avenue Bronx, NY 10451",Bronx County,(718) 665-2225,Laundry Service,95,,8/7/2015,Economic,Laundry Distribution and Food Service Joint Board,Plant Layoff
5/7/2015,Plant Closing,Lackmann Culinary Services,"c/o Stony Brook University Kelly Dining Center Stony Brook, NY 11794",Suffolk County,(718) 640-6289,Food Services,386,386,To,Loss of Contract,Local 1102 RWDSU UFCW,Plant Closing
12/8/2014,Plant Closing,Lackmann Culinary Services,"c/o Stony Brook University Kelly Dining Center Stony Brook, NY 11794",Suffolk County,(718) 559-0529,Mental Health Clinic,46,46,-----,New entity to take over operations of all sites,There are no bumping rights. Affected employees are not represented by a union.,Plant Closing
4/30/2015,Plant Layoff,Lackmann Culinary Services,"c/o Stony Brook University Kelly Dining Center Stony Brook, NY 11794",Monroe County,(585) 781-1896,Photographic equipment and supplies,4,,7/28/2015,Economic,Bumping rights do not exist.,Plant Layoff
4/1/2015,Plant Unit Closing,JP Morgan Chase &  Co.,"Global Technology Department 100 College Place Syracuse  University, Lyman Hall Syracuse, NY 13244",Onondaga County,(212) 270-6302,Financial,92,92,6/30/2015,Economic,Affected  employees are not represented by a union and bumping rights do not exist.,Plant Unit Closing
1/12/2015,Plant Closing/Layoff,"Wenner Bakery Products, Inc.  - Parbake Facility","1000 Sylvan Avenue/33 Rajon  Road Bayport, NY 11705",Suffolk County,(631) 563-6262,Parbake facility for baked goods,43,43,6/1/2015,Economic,There are no  bumping rights and the affected employees are not represented by a union.,Plant Closing
5/5/2015,Plant  Layoff,"Land O'Lakes, Inc./Freshway  Distributors","40 Ludy Street Hicksville, NY 11802",Nassau County,(516) 870-3094,Food Distributor,32,,to,Consolidating operations,Employees are  not represented by a union and there are no bumping rights at this facility.,Plant Layoff
5/5/2015,Plant Closing,"Northern Leasing Systems,  Inc.","132 West 31st Street New York, NY 10001",New York County,(212) 554-7800,Leasing company,29,29,7/31/2015,"Certain  departments will relocate to Jersey City, NY & Albany, NY",There are no  bumping rights.,Plant Closing
5/1/2015,Plant Closing,"Johnson Controls, Inc. @  Bristol Myers Squibb","6000 Thompson Raod East Syracuse, NY 13057",Onondaga County,(908) 835-0420,Operations and Maintenance,39,39,7/31/2015,Economic,IUOE Local 832 Operating Engineers,Plant Closing
10/31/2014,Plant Closing,"Windmill Distributing  Company, LP","Pier 7, 2 Atlantic Avenue Brooklyn, NY 11201",Kings County,(718) 609-7221,Beverage Distributor,499,499,-----,Integration  between Windmill and Manhattan Beer resulting in the closing of Windmill.,Teamsters Local 812,Plant Closing
5/1/2015,Plant Closing,Catholic Charities  Neighborhood Services,"Residences and Day  Habilitation 191 Joralemon Street 14th Floor Brooklyn, NY 11201",Kings/Queens County,(718) 722-6181,Developmental Disabilities Program,719,719,8/1/2015,Terminating Sponsorship,"District Council 1707, UFCW Local 888",Plant Closing
4/21/2015,Plant Layoff,Visiting Nurse Service of New  York Home Care (VNSNY Home Care),"Bulova Corporate Center 75-20 Astoria Boulevard Suite 220 Jackson Heights, NY",Queens/New  York County,(212) 609-7880,Visiting Nurse Service,11,,7/20/2015,Economic,"1199 SEIU  United Healthcare Workers East 
and United Federation of Teachers",Plant Layoff
4/30/2015,Plant Unit Closing,Xerox Corporation,"800 Phillips Road Webster, NY 14580",Monroe County,(847) 928-5839,Corporate Trucking & Cross Dock Operations,35,35,7/29/2015,Outsourcing  Corporate Trucking & Cross Dock Operations,"Workers United  Rochester Regional Joint Board, Local 14A",Plant Unit Closing
4/30/2015,Plant  Layoff,"ALM Media, LLC","120 Broadway New York, NY 10271",New York County,(212) 457-9430,Magazine & Journal Publishing and Marketing,61,,To,Economic,No bumping  rights exist.,Plant Layoff
4/30/2015,Plant  Closing,Gildan Apparel USA formerly  New Buffalo Shirt Factory,"4055 Casilio Parkway Clarence, NY 14031",Erie County,(716) 407-5246,Apparel,85,85,To,Economic,-----,Plant Closing
4/23/2015,Plant Closing,Durham School Services,"178 Newbury Street Rochester, NY 14613",Monroe County,(630) 210-2724,Transportation,142,142,7/23/2015,Contract with City of Rochester School not renewed,"United Food & Commercial Workers International Union, CLC",Plant Closing
4/24/2015,Plant  Closing,Brighter Choice Charter  Middle School for Boys,"395 Elk Street Albany, NY 12206",Albany County,(518) 694-5550,Middle School,37,37,7/22/2015,Economic,Bumping rights for affected employees do not exist and employees are not represented by  a union.,Plant Closing
2/27/2015,Plant Closing,Mondrian Soho Hotel,"Morgans Hotel Group  Management LLC 9 Crosby Street New York, NY 10013",New York County,(212) 554-6040,Hotel,198,198,on,Foreclosure-possible sale,New York Hotel & Motel Trades Council,Plant Closing
4/24/2015,Plant  Layoff,"Chancellor, Masters and  Scholars of the University of Cambridge","Cambridge University Press 32 Avenue of the Americas New York, NY 10013",New York County,(212) 337-5957,"Publisher of digital books, hard cover books,  journals, educations",67,190,7/31/2015,Economic,None of the  employees are unionized and there are no provisions regarding bumping rights.,Plant Layoff
4/20/2015,Plant  Closing,UNY LLC a/k/a General Super  Plating,"5762 Celi Drive East Syracuse, NY 13057",Onondaga County,(716) 864-7377,Plating on Plastics,95,95,To,Economic,IUE/CWA 81319,Plant Closing
3/26/2015,Plant Closing,All American School Bus Corp.,"11-08 30th Avenue Long Island City, NY 11102",Queens/Kings County,(718) 932-1500 Ext 132,School  Bus Transportation,207,207,-----,Economic,Bumping rights  do not exist.,Plant Closing
4/27/2015,Plant  Unit Closing,"NCO Financial Systems, Inc.","Extended Office Services  (EOS) Two Huntington Quadrangle, Suite  3NO2 Melville, NY 11747",Nassau County,(716) 400-1642,Financial Consultants,28,28,7/27/2015,Economic,Bumping rights  do not exist.,Plant Unit Closing
4/21/2015,Plant  Layoff,Visiting Nurse Service of New  York Home Care (VNSNY Home Care),"375 North Broadway, Suite 101 Jericho, NY 11753",Nassau County,(212) 609-7880,Visiting Nurse Service,5,,7/20/2015,Economic,1199 SEIU United Healthcare Workers East,Plant Layoff
4/23/2015,Plant Layoff,Visiting Nurse Service of New  York Home Care (VNSNY Home Care),"375 North Broadway, Suite 101 Jericho, NY 11753",Onondaga County,(412) 349-2691,Developing and Manufacturing - Clean Energy Systems,41,,to,Economic,Employees are not represented by a union and do not have bumping rights.,Plant Layoff
4/16/2015,Plant Closing,HP Hood LLC,"Heluva Good Cheese Plant 6551 Pratt Road Sodus, NY 14551",Wayne County,(315) 829-6316,Cheese Plant - cut and wrap,53,53,To,Economic,"The employees  are not represented by a union, and do not have any bumping rights.",Plant Closing
4/9/2015,Plant  Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1896,Photographic equipment and supplies,21,,7/7/2015,Economic,Bumping rights  do not exist.,Plant Layoff
4/22/2015,Plant  Closing,Catholic Charities  Neighborhood Services,"Early Childhood Education  Program John F. Kennedy ELCC 103-15 Farragut Road Brooklyn, NY 11236",Kings County,(718) 722-6181,Early Childhood Education,23,23,7/17/2015,Economic,"Local 205, District Council 1707, AFSCME",Plant Closing
4/14/2015,Plant Layoff,Eastman Kodak Company  (Eastman Business Park),"1669 Lake Avenue Rochester, NY 14650",Monroe County,(585) 781-1896,Photographic equipment and Supplies,1,,7/12/2015,Economic,The affected  workers are not represented by a union.,Plant Layoff
4/17/2015,Plant  Closing,First Student,"1301 Hillside Avenue Niskayuna, NY 14608",Schenectady County,(518) 860-0701,Transportation,62,62,7/1/2015,Economic,Employees are  not represented by a labor organization.,Plant Closing
4/16/2015,Plant Closing,Goya Foods,"201 Grumman Road West Bethpage, NY 11714",Nassau County,(201) 553-4975,Food products,57,57,7/16/2015,Economic,"United Food & Commercial Workers, Local 888",Plant Closing
4/16/2015,Plant Closing,Daikin Applied,"4900 Technology Park  Boulevard Auburn, NY 13021",Cayuga County,(315) 282-6296,Air conditioning manufacturing,1,310,(6th,Economic,"United Steelworkers, Local 32",Plant Closing
1/28/2015,Plant Closing,"Hugo Neu Recycling, LLC","518 Franklin Avenue Mount Vernon, NY 10550",Westchester County,(914) 530-2350,Recycling Facility,27,27,to,"Relocation of  operations to Kearny, NJ site","There is no  union that represents employees and no provision for transfer, bumping, or  reassignment of employees.",Plant Closing
4/13/2015,Plant  Closing,Academy of Our Lady of Good  Counsel High School,"52 North Broadway White Plains, NY 10603",Westchester County,(914) 949-0178,High School,48,48,8/31/2015,Economic,There is no  union.,Plant Closing
4/13/2015,Plant  Closing,SMG @ the Nassau Veterans  Memorial Coliseum (Nassau Coliseum),"1255 Hempstead Turnpike Uniondale, NY 11553",Nassau County,(516) 794-9300,Sports arena,2540,2540,7/17/2015,Refurbishing facility,Bumping rights  do not exist.,Plant Closing
4/9/2015,Plant Closing,Quality Transportation Corp.,"612 Wortman Avenue Brooklyn, NY 11208",Kings County,(718) 209-5500 Ext 6398,Transportation,100,100,6/26/2015,Loss of Contract with NYC,"Transportation  Workers Union of Greater New York, AFL-CIO Local 100",Plant Closing
